Search Term,Race,Count,Pos Tweets,Neg Tweets,Neu Tweets,Average Compound
#CA10,CA-10,3,0,0,3,0.0
#CA25,CA-25,0,0,0,0,0
#CA39,CA-39,0,0,0,0,0
#CA45,CA-45,0,0,0,0,0
#CA48,CA-48,2,0,0,2,0.0
#FL15,FL-15,0,0,0,0,0
#FL26,FL-26,1,0,0,1,0.0
#IL14,IL-14,0,0,0,0,0
#IA03,IA-03,0,0,0,0,0
#KS02,KS-02,0,0,0,0,0
#KY06,KY-06,56,7,0,49,0.05271428571428572
#ME02,ME-02,2,0,0,2,0.0
#MI08,MI-08,8,8,0,0,0.47670000000000007
MN01,MN-01,0,0,0,0,0
#NJ03,NJ-03,0,0,0,0,0
#NJ07,NJ-07,1,0,1,0,-0.3182
#NM02,NM-02,0,0,0,0,0
#NY19,NY-19,4,1,0,3,0.136525
#NY22,NY-22,0,0,0,0,0
#NC09,NC-09,1,0,0,1,0.0
#NC13,NC-13,0,0,0,0,0
#OH12,OH-12,0,0,0,0,0
#PA01,PA-01,0,0,0,0,0
#TX07,TX-07,0,0,0,0,0
#TX32,TX-32,0,0,0,0,0
#UT04,UT-04,0,0,0,0,0
#VA02,VA-02,0,0,0,0,0
#VA07,VA-07,1,0,1,0,-0.4869
#WA08,WA-08,1,0,0,1,0.0
