Search Term,Race,Count,Pos Tweets,Neg Tweets,Neu Tweets,Average Compound
Kyrsten Sinema,Arizona Senate,7472,2566,2889,2017,-0.0620541889721626
Martha McSally,Arizona Senate,21265,7357,2705,11203,0.10993008229484663
Angela Green,Arizona Senate,845,810,9,26,0.6454665088757305
#AZSenate,Arizona Senate,28,11,6,11,0.05860000000000002
Diane Feinstein,California Senate,377,122,153,102,-0.061860477453580996
Kevin de Leon,California Senate,334,160,45,129,0.1791499999999999
#CASenate,California Senate,0,0,0,0,0
Christopher Murphy,Connecticut Senate,2,0,1,1,-0.36485
Matthew Corey,Connecticut Senate,123,54,38,31,0.08560081300813001
Jeffery Russell,Connecticut Senate,0,0,0,0,0
Richard Lion,Connecticut Senate,4,1,2,1,-0.025724999999999998
#CTSenate,Connecticut Senate,2,0,0,2,0.0
Tom Carper,Delaware Senate,292,234,24,34,0.25997157534246573
Robert Arlett,Delaware Senate,18,4,1,13,0.04161666666666666
Demitri Theodoropoulos,Delaware Senate,0,0,0,0,0
Nadine Frost,Delaware Senate,2,0,0,2,0.0
#DESenate,Delaware Senate,0,0,0,0,0
Bill Nelson,Florida Senate,25095,5483,13190,6422,-0.00992542339111907
Rick Scott,Florida Senate,44130,17628,9743,16759,0.13589523680036666
#FLSenate,Florida Senate,19,7,0,12,0.12146315789473683
Mazie Hirono,Hawaii Senate,567,481,39,47,0.40716649029982227
Ron Curtis,Hawaii Senate,94,53,8,33,0.1586946808510638
#HISenate,Hawaii Senate,0,0,0,0,0
Joe Donnelly,Indiana Senate,23383,6352,10845,6186,-0.10585949621519307
Mike Braun,Indiana Senate,24600,13603,5800,5197,0.23212481300813376
Lucy Brenton,Indiana Senate,57,19,16,22,0.007815789473684217
#INSenate,Indiana Senate,24,16,0,8,0.33601250000000005
Angus King,Maine Senate,739,127,440,172,-0.1950075778078471
Zak Ringelstein,Maine Senate,28,3,0,25,0.07850357142857144
Eric Brakey,Maine Senate,79,25,26,28,-0.048522784810126576
